transaction_id,customer_id,age,gender,annual_income,account_open_date,credit_score,segment,transaction_date,transaction_type,amount,merchant,merchant_category,channel,balance_after,is_fraud,transaction_month,transaction_dayofweek,is_large_tx,amount_log,year
1,17270,47,Female,151300,2024-04-25,721,Student,2025-02-13,debit,3104,Edwards LLC,Salary,branch,17399,False,2,3,True,8.040768994367578,2025
2,10860,74,Male,241354,2021-12-13,668,Affluent,2025-07-24,credit,2375,"Mathis, King and Murphy",Restaurants,online,33103,False,7,3,False,7.773173680482536,2025
3,15390,72,Male,233286,2017-10-23,349,Mass Market,2025-05-18,debit,3357,Riley LLC,Travel,branch,15330,False,5,6,True,8.119100837637486,2025
4,15191,33,Female,57052,2020-01-02,405,Affluent,2025-02-13,debit,3081,Waller PLC,Transfers,online,16464,False,2,3,True,8.033334015880062,2025
5,15734,29,Male,208841,2019-03-14,515,Mass Market,2025-06-09,debit,3685,Friedman-Medina,Investment,branch,2134,False,6,0,True,8.212297138229768,2025
6,16265,34,Male,66032,2018-06-09,724,Mass Market,2025-02-09,debit,4725,"Higgins, Brown and Brown",Restaurants,atm,49409,False,2,6,True,8.460834457746854,2025
7,10466,33,Female,239793,2024-07-15,371,Mass Market,2025-09-28,debit,962,"Fisher, Robertson and Gilmore",Transfers,online,95198,False,9,6,False,6.870053411798126,2025
8,14426,29,Female,53686,2019-08-08,745,High Net Worth,2025-09-07,debit,3310,"Washington, Stephens and Gibson",Education,online,184,False,9,6,True,8.105005537547246,2025
9,15578,25,Male,96981,2015-12-13,485,Affluent,2025-02-24,debit,3745,Mueller Group,Transfers,atm,95923,False,2,0,True,8.228443883004033,2025
10,18322,37,Male,118802,2018-08-08,369,Affluent,2025-05-21,debit,3189,"Martin, Ortiz and Powell",Entertainment,online,49274,False,5,2,True,8.06777619577889,2025
11,11685,20,Male,214333,2025-04-27,449,Mass Market,2025-09-14,debit,2973,"West, Hernandez and Powell",Healthcare,online,72799,False,9,6,False,7.9976631270201,2025
12,10769,33,Female,153881,2020-12-10,545,Mass Market,2025-04-23,credit,4037,Hudson-Fischer,Education,mobile_app,55810,False,4,2,True,8.303504798872783,2025
13,16949,47,Male,192857,2023-06-09,837,Student,2025-11-21,debit,3257,Brooks-Sanders,Healthcare,atm,78727,False,11,4,True,8.08886878916199,2025
